company,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
Ford,2020,5000.0,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,400000.0
Hyundai,2017,60000.0,Petrol,Individual,Manual,First Owner,20.37,1248.0,79.4,5.0,20.37
Volkswagen,2010,60000.0,Petrol,Individual,Manual,First Owner,20.37,1248.0,79.4,5.0,20.37
Tata,2010,48000.0,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,300000.0
Mahindra,2019,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Tata,2016,100000.0,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,375000.0
Hyundai,2013,60000.0,Diesel,Individual,Manual,Second Owner,20.37,1248.0,79.4,5.0,20.37
Hyundai,2013,69000.0,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,451999.0
Toyota,2009,60000.0,Petrol,Individual,Manual,Second Owner,20.37,1248.0,79.4,5.0,20.37
Maruti,2020,13000.0,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,475000.0
Maruti,2016,60000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,780000.0
Maruti,2017,40000.0,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,595000.0
Maruti,2017,35000.0,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,440000.0
Maruti,2010,120000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.0,5.0,300000.0
Nissan,2014,70000.0,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,400000.0
Hyundai,2016,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,5.0,20.37
Ford,2017,76139.0,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,850000.0
Maruti,2012,175000.0,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,370000.0
Renault,2018,25000.0,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,350000.0
Maruti,2015,40000.0,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,360000.0
Maruti,2008,65000.0,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,105000.0
Maruti,2013,90000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,625000.0
Hyundai,2009,80000.0,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,135000.0
Maruti,2015,110000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,700000.0
Honda,2019,1303.0,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,690000.0
Audi,2018,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Lexus,2019,60000.0,Petrol,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Jaguar,2017,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Jeep,2017,60000.0,Petrol,Individual,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Land,2019,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,7.0,20.37
Mercedes-Benz,2017,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
BMW,2018,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
BMW,2017,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
BMW,2019,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Skoda,2018,60000.0,Petrol,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Mercedes-Benz,2016,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
MG,2019,60000.0,Petrol,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Honda,2017,41000.0,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,795000.0
Toyota,2013,60000.0,Petrol,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Volvo,2018,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Audi,2015,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,7.0,20.37
Maruti,2015,40000.0,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,535000.0
Mercedes-Benz,2017,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
BMW,2010,60000.0,Petrol,Dealer,Automatic,Second Owner,20.37,1248.0,79.4,5.0,20.37
Hyundai,2016,60000.0,Petrol,Dealer,Manual,First Owner,20.37,1248.0,79.4,5.0,20.37
Jaguar,2017,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Tata,2018,11000.0,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,811000.0
Volkswagen,2011,49000.0,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,375000.0
Hyundai,2012,60000.0,Petrol,Individual,Manual,First Owner,20.37,1248.0,79.4,5.0,20.37
Skoda,2016,11000.0,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,645000.0
Mercedes-Benz,2018,60000.0,Petrol,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Maruti,2014,46100.0,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,599000.0
Mercedes-Benz,2017,60000.0,Petrol,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Honda,2017,18000.0,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,875000.0
Toyota,2019,9654.0,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,894999.0
Maruti,2011,11000.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,175000.0
Maruti,2012,24300.0,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,340000.0
Toyota,2016,60000.0,Diesel,Dealer,Automatic,Second Owner,20.37,1248.0,79.4,7.0,20.37
Tata,2018,8000.0,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,1025000.0
BMW,2016,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Toyota,2016,60000.0,Petrol,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
BMW,2016,60000.0,Diesel,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Toyota,2009,60000.0,Petrol,Dealer,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Maruti,2016,20000.0,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0,850000.0
Volvo,2017,60000.0,Petrol,Individual,Automatic,First Owner,20.37,1248.0,79.4,4.0,20.37
Volkswagen,2011,100000.0,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,300000.0
Ford,2018,9500.0,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,575000.0
Ford,2011,120000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,160000.0
Maruti,2015,36600.0,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,515000.0
Maruti,2015,50000.0,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0,390000.0
Hyundai,2016,14000.0,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,550000.0
Maruti,1999,40000.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,40000.0
Maruti,2010,120000.0,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,220000.0
Hyundai,2015,70000.0,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,425000.0
Volkswagen,2019,13000.0,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0,480000.0
Hyundai,2014,60000.0,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,400000.0
Maruti,2014,35000.0,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,487000.0
Hyundai,2016,44000.0,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0,386000.0
Honda,2005,120000.0,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0,100000.0
Toyota,2010,60000.0,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,300000.0
Daewoo,2000,60000.0,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,100000.0
Toyota,2014,60000.0,Diesel,Individual,Manual,Second Owner,20.37,1248.0,79.4,7.0,20.37
Mahindra,2016,15000.0,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6.0,450000.0
Tata,2017,90000.0,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0,490000.0
Honda,2009,47000.0,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,345000.0
Maruti,2005,90000.0,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,85000.0
Maruti,2010,120600.0,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,215000.0
Hyundai,2010,100000.0,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0,320000.0
Maruti,2016,60000.0,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0,459999.0
Hyundai,2005,86000.0,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5.0,65000.0
Hyundai,2020,5000.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,720000.0
Maruti,2017,37000.0,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0,800000.0
Tata,2019,14000.0,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0,520000.0
Maruti,2015,70000.0,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,580000.0
Toyota,2012,120000.0,Diesel,Individual,Manual,First Owner,19.3,1248.0,82.0,5.0,235000.0
Honda,2015,50000.0,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0,600000.0
Honda,2014,60000.0,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5.0,290000.0
Maruti,2016,50000.0,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,360000.0
Maruti,2017,50000.0,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,550000.0
Hyundai,2013,70000.0,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0,375000.0
Maruti,2003,90000.0,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.0,5.0,40000.0
Maruti,2018,35000.0,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,420000.0
Maruti,2017,20000.0,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,550000.0
Maruti,2018,20000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,270000.0
Maruti,2018,7800.0,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0,700000.0
Maruti,2017,20000.0,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,500000.0
Tata,2019,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Hyundai,2013,31377.0,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5.0,320000.0
Maruti,2018,50000.0,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,700000.0
Maruti,2015,60000.0,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,290000.0
Toyota,2012,60000.0,Petrol,Individual,Automatic,First Owner,20.37,1248.0,79.4,5.0,20.37
Honda,2012,60000.0,Petrol,Individual,Manual,First Owner,19.4,1198.0,86.8,5.0,265000.0
Maruti,2018,5000.0,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,5.0,830000.0
Tata,2017,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Maruti,2011,25000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,160000.0
Renault,2018,30000.0,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,335000.0
Datsun,2017,80000.0,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,5.0,329000.0
Maruti,2017,75000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,775000.0
Hyundai,2020,32000.0,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,524000.0
Maruti,2015,40000.0,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,245000.0
Hyundai,2012,93000.0,Petrol,Individual,Manual,Second Owner,17.0,1197.0,80.0,5.0,275000.0
Tata,2018,60000.0,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0,520000.0
Maruti,2008,120000.0,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.0,5.0,130000.0
Nissan,2014,37000.0,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5.0,550000.0
Ford,2018,60000.0,Petrol,Individual,Manual,First Owner,20.37,1248.0,79.4,5.0,20.37
Nissan,2015,80000.0,Petrol,Individual,Manual,First Owner,19.49,1198.0,67.04,5.0,300000.0
Maruti,2016,140000.0,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,350000.0
Mahindra,2013,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Mahindra,2013,120000.0,Diesel,Individual,Manual,Second Owner,17.21,1493.0,100.0,7.0,300000.0
Maruti,2010,110000.0,Diesel,Individual,Manual,Second Owner,21.1,1248.0,73.9,5.0,250000.0
Hyundai,2017,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,5.0,20.37
Renault,2016,44000.0,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,270000.0
Maruti,2015,80000.0,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,640000.0
Mahindra,2015,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Maruti,2017,13500.0,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5.0,409999.0
Hyundai,2011,75000.0,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,5.0,165000.0
Hyundai,2007,120000.0,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,5.0,80000.0
Mahindra,2012,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Toyota,2013,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,7.0,20.37
Maruti,2013,70000.0,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,550000.0
Honda,2019,15000.0,Petrol,Individual,Automatic,First Owner,19.0,1199.0,88.76,5.0,680000.0
Hyundai,2009,53000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,200000.0
Maruti,2014,120000.0,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,5.0,500000.0
Maruti,2016,70000.0,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7.0,1000000.0
Hyundai,2008,120000.0,Petrol,Individual,Manual,Second Owner,14.2,1341.0,82.9,5.0,110000.0
Hyundai,2012,100000.0,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,5.0,320000.0
Tata,2005,110000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.0,5.0,75000.0
Maruti,2015,100000.0,Petrol,Individual,Manual,First Owner,20.4,1197.0,83.11,5.0,350000.0
Tata,2013,162500.0,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5.0,170000.0
Hyundai,2017,39000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,800000.0
Maruti,2017,75000.0,Diesel,Individual,Manual,First Owner,26.8,1248.0,74.0,5.0,500000.0
Tata,2017,60000.0,Diesel,Individual,Automatic,First Owner,20.37,1248.0,79.4,7.0,20.37
Mahindra,2019,60000.0,Diesel,Individual,Manual,First Owner,20.37,1248.0,79.4,8.0,20.37
